ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1431289239.26984,dbt2,64465,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.048375+01,,2015-05-10 21:20:39.249371+01,f,COMMIT,idle,2015-05-10 21:20:39.255611+01
1431289239.26984,dbt2,64469,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.148178+01,,2015-05-10 21:20:39.257518+01,f,COMMIT,idle,2015-05-10 21:20:39.261839+01
1431289239.26984,dbt2,64471,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.248282+01,2015-05-10 21:20:39.257088+01,2015-05-10 21:20:39.260245+01,f,COMMIT,active,2015-05-10 21:20:39.260246+01
1431289239.26984,dbt2,64473,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.34838+01,2015-05-10 21:20:39.263535+01,2015-05-10 21:20:39.264365+01,f,"SELECT delivery(2, 4)",active,2015-05-10 21:20:39.264366+01
1431289239.26984,dbt2,64475,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.448501+01,,2015-05-10 21:20:39.20996+01,f,COMMIT,idle,2015-05-10 21:20:39.216281+01
1431289239.26984,dbt2,64477,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.54858+01,,2015-05-10 21:20:39.212089+01,f,COMMIT,idle,2015-05-10 21:20:39.217249+01
1431289239.26984,dbt2,64479,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.648685+01,,2015-05-10 21:20:39.22002+01,f,COMMIT,idle,2015-05-10 21:20:39.223562+01
1431289239.26984,dbt2,64481,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.748785+01,,2015-05-10 21:20:39.225348+01,f,COMMIT,idle,2015-05-10 21:20:39.225362+01
1431289239.26984,dbt2,64483,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.848963+01,,2015-05-10 21:20:39.230984+01,f,COMMIT,idle,2015-05-10 21:20:39.245026+01
1431289239.26984,dbt2,64485,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.949039+01,,2015-05-10 21:20:39.245603+01,f,COMMIT,idle,2015-05-10 21:20:39.247058+01
1431289239.26984,dbt2,64487,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.049119+01,,2015-05-10 21:20:39.246278+01,f,COMMIT,idle,2015-05-10 21:20:39.254692+01
1431289239.26984,dbt2,64556,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.149723+01,,2015-05-10 21:20:39.223897+01,f,COMMIT,idle,2015-05-10 21:20:39.241573+01
1431289239.26984,dbt2,64600,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.249817+01,,,f,"",idle,2015-05-10 21:20:39.25111+01
1431289239.26984,dbt2,64612,10,mark,psql,,-1,2015-05-10 21:20:39.264132+01,2015-05-10 21:20:39.265542+01,2015-05-10 21:20:39.265542+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-10 21:20:39.265549+01
1431289239.26984,dbt2,64611,10,mark,psql,,-1,2015-05-10 21:20:39.265434+01,2015-05-10 21:20:39.268152+01,2015-05-10 21:20:39.268152+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-10 21:20:39.268158+01
1431289239.26984,dbt2,64610,10,mark,psql,,-1,2015-05-10 21:20:39.266226+01,2015-05-10 21:20:39.269841+01,2015-05-10 21:20:39.269841+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-10 21:20:39.269849+01
1431289239.26984,dbt2,64613,10,mark,psql,,-1,2015-05-10 21:20:39.266332+01,2015-05-10 21:20:39.268339+01,2015-05-10 21:20:39.268339+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-10 21:20:39.268344+01
1431289299.27078,dbt2,64465,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.048375+01,2015-05-10 21:21:39.174749+01,2015-05-10 21:21:39.174984+01,t,"SELECT payment(2, 8, 2040, 2, 8, '', 3979.610000)",active,2015-05-10 21:21:39.174985+01
1431289299.27078,dbt2,64469,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.148178+01,2015-05-10 21:21:39.24757+01,2015-05-10 21:21:39.247599+01,t,"SELECT payment(4, 8, 2, 4, 8, '', 2178.760000)",active,2015-05-10 21:21:39.247599+01
1431289299.27078,dbt2,64471,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.248282+01,2015-05-10 21:21:39.255731+01,2015-05-10 21:21:39.258045+01,f,COMMIT,active,2015-05-10 21:21:39.258046+01
1431289299.27078,dbt2,64473,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.34838+01,2015-05-10 21:21:39.19864+01,2015-05-10 21:21:39.198749+01,t,"SELECT payment(3, 4, 0, 1, 9, 'EINGABLEOUGHT', 300.680000)",active,2015-05-10 21:21:39.19875+01
1431289299.27078,dbt2,64475,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.448501+01,2015-05-10 21:21:39.251603+01,2015-05-10 21:21:39.251629+01,t,"SELECT payment(2, 9, 0, 2, 9, 'BARABLEPRI', 918.360000)",active,2015-05-10 21:21:39.251629+01
1431289299.27078,dbt2,64477,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.54858+01,2015-05-10 21:21:39.259175+01,2015-05-10 21:21:39.26103+01,f,COMMIT,active,2015-05-10 21:21:39.261031+01
1431289299.27078,dbt2,64479,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.648685+01,2015-05-10 21:21:39.167741+01,2015-05-10 21:21:39.167934+01,t,"SELECT payment(1, 9, 0, 3, 2, 'BAROUGHTESE', 991.130000)",active,2015-05-10 21:21:39.167935+01
1431289299.27078,dbt2,64481,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.748785+01,2015-05-10 21:21:39.130829+01,2015-05-10 21:21:39.255398+01,f,COMMIT,active,2015-05-10 21:21:39.255399+01
1431289299.27078,dbt2,64483,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.848963+01,2015-05-10 21:21:39.252943+01,2015-05-10 21:21:39.258897+01,f,COMMIT,active,2015-05-10 21:21:39.258898+01
1431289299.27078,dbt2,64485,10,mark,dbt2-client,,-1,2015-05-10 21:20:38.949039+01,2015-05-10 21:21:39.253232+01,2015-05-10 21:21:39.254925+01,f,COMMIT,active,2015-05-10 21:21:39.254926+01
1431289299.27078,dbt2,64487,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.049119+01,2015-05-10 21:21:39.238537+01,2015-05-10 21:21:39.238566+01,t,"SELECT payment(2, 8, 1728, 2, 8, '', 2749.850000)",active,2015-05-10 21:21:39.238566+01
1431289299.27078,dbt2,64556,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.149723+01,2015-05-10 21:21:39.255214+01,2015-05-10 21:21:39.255243+01,t,"SELECT payment(1, 7, 768, 1, 7, '', 746.710000)",active,2015-05-10 21:21:39.255244+01
1431289299.27078,dbt2,64600,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.249817+01,2015-05-10 21:21:39.203444+01,2015-05-10 21:21:39.203467+01,t,"SELECT payment(3, 4, 0, 3, 4, 'ESEABLEOUGHT', 1203.340000)",active,2015-05-10 21:21:39.203468+01
1431289299.27078,dbt2,64618,10,mark,dbt2-client,,-1,2015-05-10 21:20:39.355914+01,2015-05-10 21:21:39.236522+01,2015-05-10 21:21:39.236593+01,t,"SELECT payment(2, 9, 0, 2, 9, 'ATIONPRICALLY', 2550.100000)",active,2015-05-10 21:21:39.236594+01
